product_id,product_type,protein_pct,carbs_g,fat_g,moisture_pct,bcaa_g,leucine_g,solubility_index,denaturation_pct,odor_score,flavor_score,lead_ppm,cadmium_ppm,quality_label
WPB33,concentrate,67.58,5.65,4.14,3.99,19.14,7.45,77.48559377,17.11452829,4.338475971,6.838803796,0.0052,0.0007,Medium
WPB34,isolate,52.98,0,2.84,5.12,13.49,5.22,50.7692994,41.11283198,1.289141566,3.181675922,0.0034,0.0013,Low
WPB35,concentrate,64.22,5.25,2.25,5.38,16.14,6.19,41.74119166,25.69787554,3.984322936,3.075479943,0.0115,0.0032,Low
WPB36,concentrate,80.45,2.1,6.38,4.12,19.42,7.59,80.16231165,4.613895615,5.024297177,5.000593623,0.0046,0.0012,Medium
WPB37,isolate,73.55,4.35,2.55,1.93,16.19,5.75,64.72019841,13.05581396,7.068668661,5.688526883,0.0104,0.0006,Medium
WPB38,concentrate,90.15,5.71,3.87,4.03,20.77,8.65,92.93164762,13.45723284,9.857505723,9.200022479,0.007,0.0009,High
WPB39,blend,79.24,11.34,0.12,4.74,18.95,7.38,62.42131728,21.67299684,7.013819237,6.526133561,0.0008,0.0004,Medium
WPB40,concentrate,60.58,3.15,3.81,5.41,15,5.64,26.5080912,27.47546111,3.96038396,2.216801378,0.0043,0.0029,Low
WPB41,isolate,46.98,4.17,0.72,4.86,9.38,3.61,62.46356854,22.63922422,1.933413305,4.149968962,0.0168,0.0019,Low
WPB42,blend,92.92,6.6,5.29,4.94,22.72,8.68,88.16656229,5.927543231,7.863693389,9.35141559,0.0145,0.0011,High
WPB43,blend,51.75,0.96,3.14,5.64,11.13,4.59,49.45229505,7.97299253,2.292905678,2.640693297,0.0243,0,Low
WPB44,concentrate,88.33,8.08,,4.39,17.63,6.91,88.67681582,1.413164,6.575716689,9.603597635,0.0007,0.0009,High
WPB45,concentrate,52.54,5.64,2.37,4.45,11.01,4.38,44.77906748,29.14127227,4.706845631,3.336892683,0.0146,0.0019,Low
WPB46,blend,88.69,5.2,8.03,3.79,19.96,7.94,97.09279842,8.259077014,7.404310434,10,0.0068,0.0042,High
WPB47,concentrate,70.68,7.78,5.62,4.5,12.52,4.74,75.41422249,21.05746401,5.303538172,7.06912632,0.0055,0.0005,Medium
WPB48,isolate,73.87,2.49,3.3,3.43,16.6,6.58,76.85874047,14.63919936,7.49200724,6.25609842,0.0048,0.0021,Medium
WPB49,concentrate,88.55,2.99,1.29,3.6,21.23,8.31,90.45916273,8.008618496,6.416815327,9.746579955,0.0066,0.0009,High
WPB50,concentrate,91.67,4.6,4.38,3.48,20.57,7.31,93.84772261,6.296054172,8.070703122,6.397329757,0.0152,0.0013,High
WPB51,blend,80.52,1.88,3.7,3.53,15.28,5.89,78.88445568,11.11536567,7.255365869,4.990183066,0.0252,0.0099,Medium
WPB52,concentrate,80.77,7.45,2.55,1.34,16.89,5.79,73.6697875,22.44064735,7.891739833,5.197940999,0.0228,0.0027,Medium
WPB53,concentrate,79.34,2.91,0.08,3.13,16.4,5.94,66.19140087,11.19362121,6.90029314,6.480555208,0.0023,0.0003,Medium
WPB54,concentrate,67.93,5.47,3.09,3.38,15.33,5.67,42.25917457,41.77833239,1.224501166,2.259607723,0.012,0.002,Low
WPB55,isolate,87.13,3.71,1.85,5.42,20.46,7,89.1455003,7.688928066,8.079445404,8.869094313,0.0368,0.0052,High
WPB56,concentrate,53.9,4.02,3.84,4.58,11.61,4.87,57.96701747,31.04721506,1.324102442,2.151580384,0.0093,0.003,Low
WPB57,isolate,87.4,2.19,1.51,5.61,21.94,8.26,94.5536378,12.70003297,9.394990799,9.416506578,0.0044,0.0002,High
WPB58,isolate,54.57,3.04,3.63,3.4,11.49,4.68,46.23044693,17.96815552,4.214302247,5.394466889,0.0159,0.0037,Low
WPB59,isolate,83.69,3.19,7.68,3.26,17.42,6.75,89.22321329,6.489669604,8.803840693,9.895551916,0.0195,0.0005,High
WPB60,isolate,88.79,3.85,7.74,3.51,21.02,8.11,94.07720562,8.681462975,7.089758547,8.662369386,0.0006,0.0117,High
WPB61,blend,89.49,3.32,3.81,4.63,17.89,6.14,92.70136379,8.090176134,8.610685856,9.019706811,0.0042,0.003,High
WPB62,isolate,73.71,2.51,6.32,4.4,17,6.22,54.84942403,17.1709021,4.023109681,6.129487828,0.0092,0.0015,Medium
WPB63,concentrate,66.21,0.11,2.14,4.72,18.48,6.93,73.21110611,20.98626992,5.73013007,5.859793481,0.018,0.0055,Medium
WPB64,isolate,88.06,3.69,1.08,3.25,17.35,6.91,90.94763619,4.097290075,7.96448814,9.89302185,0.0031,0.0012,High
WPB65,concentrate,84.12,6.49,5.52,4.71,18.12,6.46,97.08816377,0.260509773,8.657475897,9.192418844,0.0242,0.001,High
WPB66,isolate,77.14,1.6,1.18,4.19,14.29,5.73,71.5021443,17.24140519,6.766618083,7.323654036,0.0044,0.0007,Medium
WPB67,blend,88.36,8.73,5.55,4.05,19.64,7.76,89.85090043,8.000136246,8.289053357,8.331797787,0.003,0.0041,High
WPB68,isolate,56.52,0.05,0.28,4.17,13.1,4.59,34.2552738,25.7017825,2.496939729,3.690504748,0,0.0133,Low
WPB69,isolate,47.57,0.5,3.83,5.08,11.76,4.5,46.1530424,26.26240388,3.796634809,4.211461797,0.0033,0.0034,Low
WPB70,blend,91.78,0,0.89,4.51,17.78,6.7,89.702221,6.755647896,8.169795169,7.372544996,0.0131,0.0008,High
WPB71,isolate,56.19,8.06,1.62,3,12.17,4.54,43.96643485,36.11440215,4.806747223,2.772154045,0.0098,0.0049,Low
WPB72,concentrate,85.26,3.93,5.23,2.58,19.94,7.5,84.58380369,8.047534601,7.403927491,7.721837265,0.0058,0.0059,High
WPB73,isolate,77.9,9.28,5.83,3.86,16.11,5.82,68.69230328,18.26313878,6.888584388,6.917305495,0.011,0.0024,Medium
WPB74,isolate,88.29,0.1,1.68,3.77,20,7.96,94.02683051,7.543671483,10,9.281291396,0.0074,0.009,High
WPB75,isolate,93.51,12.2,5.31,4.88,21.97,9.09,94.88673479,3.836868261,9.270737498,8.613920744,0.0055,0.0098,High
WPB76,blend,51.13,2.41,2.21,3.08,10.49,4.2,46.78660833,21.14245636,2.446668958,4.625853318,0.0014,0.0015,Low
WPB77,isolate,84.26,4.26,3.14,3.81,19.48,7.37,94.80412087,5.364371333,8.788056306,9.004402241,0.0049,0.0004,High
WPB78,isolate,57.03,4.41,1.79,2.23,12.88,4.54,41.00866,33.99992233,3.172604145,3.895396615,0.0009,0.0039,Low
WPB79,concentrate,62.09,5.77,1.87,4.98,12.25,4.82,48.9513046,29.99622636,4.796416678,4.144300191,0.0094,0.0015,Low
WPB80,isolate,94.97,5.14,1.63,2.62,16.64,6.16,92.0533756,4.488383299,9.302789986,7.840130842,0.0206,0.0014,High
WPB81,isolate,78.93,5.13,0.18,3.28,15.9,5.94,53.94083657,29.79909562,4.213728295,2.299917983,0.0014,0.0012,Low
WPB82,isolate,83.34,8.33,1.62,3.37,17.24,6.45,88.9383295,0,7.508194645,8.40812827,0.0112,0.003,High
WPB83,isolate,74.32,3.55,1.57,2.96,18.38,7.43,76.94121194,12.93377348,6.423151873,7.123063767,0.0024,0.0024,Medium
WPB84,concentrate,68.78,3.46,6.89,3.68,14.23,5.57,63.29527982,15.0381707,4.689894783,4.762678474,0.0021,0.0027,Medium
WPB85,concentrate,73.76,9.33,4.83,5.05,16.36,5.92,74.92771687,11.12979325,8.587128619,5.793941422,0.0158,0.0001,Medium
WPB86,blend,95.43,5.4,2.11,3.72,20.25,7.88,92.436106,7.522866657,8.515361802,8.947980159,0.0081,0.0066,High
WPB87,isolate,85.54,3.24,2.61,2.67,17.16,7.08,86.5833609,4.407157795,8.303424786,8.651851418,0.0284,0.0016,High
WPB88,blend,87.93,7.09,3.57,3.82,19.3,7.05,86.89954929,4.320326247,7.969812308,7.362868049,0.0404,0.0027,High
WPB89,blend,50.93,4.47,2.97,3.52,14.23,5.08,48.42596295,25.29385278,4.951831437,4.888096195,0.0106,0.0044,Low
WPB90,isolate,47.98,10.53,1.7,2.36,11.16,4.24,51.56163191,37.81588479,2.890948711,2.821642764,0.0052,0.0011,Low
WPB91,concentrate,67.55,2.15,4.55,6.09,15.07,6.08,29.48863449,27.20503072,6.526896973,3.295456432,0.0035,0.001,Low
WPB92,concentrate,44.23,5.93,2.09,4.11,9.84,3.36,37.74519056,28.24532279,2.264719952,2.67429103,0.0017,0.0051,Low
WPB93,isolate,54.42,1.94,4.3,3.63,11.05,4.18,43.09181426,24.47074504,2.187665448,3.68060662,0.0065,0.0041,Low
WPB94,isolate,88.26,4.47,5.38,4.45,22.07,7.87,91.59640749,5.581705411,8.999369612,8.946056944,0.0063,0.0017,High
WPB95,concentrate,87.9,2.83,3.58,4.69,19.68,7.52,83.26941485,1.364884421,9.096421748,7.877928276,0,0.0003,High
WPB96,isolate,73.42,5.01,2.27,5.19,16.46,6.81,66.9708163,14.12005905,5.240482049,6.948511802,0.0124,0.0014,Medium
WPB97,isolate,83.07,3.82,4.78,2.85,18.62,7.05,62.77749195,15.25853924,5.435408607,6.452974655,0.0042,0.0047,Medium
WPB98,isolate,64.44,2.53,5.17,3.6,15.22,5.88,67.16427484,8.252888461,6.28839493,7.551722478,0.0188,0.0001,Medium
WPB99,concentrate,58.06,1.94,6.28,3.22,12.2,4.63,44.87875453,20.99097575,4.375169175,4.569411392,0.005,0.0035,Low
WPB100,blend,58.37,5.09,6.06,4.72,11.8,4.77,40.49400163,36.40591222,4.678240087,3.541495138,0.0273,0.0075,Low
WPB101,blend,88.86,3.91,2.15,1.23,16.96,6.02,98.25164124,10.74584832,9.203382619,8.943377044,0.0122,0.0022,High
WPB102,isolate,70.85,6.89,,3.7,15.07,6.1,69.86761333,21.21817671,4.68553634,5.847167749,0.0054,0.0029,Medium
WPB103,concentrate,81.03,1.76,2.58,4.73,16.9,6.02,58.16961814,13.24920041,6.88866282,7.24449975,0.0074,0.0016,Medium
WPB104,isolate,63.08,5.76,1.7,5.57,16.58,6.46,51.89832271,38.90293022,3.054576977,3.765514729,0.0049,0.0005,Low
WPB105,concentrate,48.94,5.84,3.71,4.83,9.97,3.46,56.09128284,9.586711861,3.252708791,1.314837793,0.0058,0.0066,Low
WPB106,isolate,84.41,10.04,2.74,3.17,19.5,7.92,84.75208951,4.591628509,9.047312674,8.11524328,0.0005,0.0017,High
WPB107,concentrate,83.83,5.56,,4.89,16.28,6.06,91.12382964,7.99752704,10,6.910862395,0.0027,0.0078,High
WPB108,concentrate,56.58,6.3,5.25,5.65,13.37,5.46,25.14273252,32.51641184,3.259920746,3.851229564,0.0277,0.0022,Low
WPB109,blend,55.33,0.41,1.68,4.31,13.05,4.77,59.86561927,38.98576407,2.519145221,2.9611265,0.0084,0.0094,Low
WPB110,isolate,86.92,5.5,2.98,4.48,16.99,6.77,86.31212024,4.820275253,9.303232103,8.493311069,0.0001,0.007,High
WPB111,blend,69.57,1.49,5.62,4.89,14.54,5.05,39.36996612,29.81749237,3.259856909,4.081325829,0.0582,0.0032,Low
WPB112,blend,72.69,0.5,2.29,3.99,16.4,6.86,82.32467537,15.01713812,7.298142825,5.614478178,0.0042,0.0017,Medium
WPB113,concentrate,75.94,4.37,2.25,2.03,17.05,6.78,78.5380876,6.40114441,6.779100123,5.472445572,0.0287,0.0049,Medium
WPB114,isolate,87.42,6.07,4.58,4.51,17.69,7.28,84.3096379,9.679958265,7.29523542,8.359838734,0.0304,0.0031,High
WPB115,concentrate,84.82,6.9,4.51,2.7,19.4,6.91,74.59786939,4.709288031,5.103997298,5.808912676,0.0075,0.0037,Medium
WPB116,concentrate,65.05,9.79,,4.3,14.52,5.08,78.53033541,23.51850319,5.382716793,6.129349472,0.0059,0.0035,Medium
WPB117,concentrate,52.83,3.38,3.65,2.31,11.31,4.7,32.36959876,21.05857065,4.016056566,4.99891598,0.0054,0.0036,Low
WPB118,isolate,89.84,2.71,3.9,3.09,17.58,6.7,85.23444788,2.408698868,9.019149165,6.621472006,0.0066,0.0055,High
WPB119,isolate,87.33,2.48,0.47,3.42,17.03,6.89,89.36374109,10.12929341,9.436951743,9.34821144,0.0095,0.0073,High
WPB120,concentrate,68.48,3.3,5.59,4.13,13.22,5.41,77.47857226,16.22822585,5.251465615,6.305762011,0.0013,0.0027,Medium
WPB121,isolate,75.88,2.96,4.37,3.93,14.77,5.16,67.19151408,12.86044847,6.814546024,7.27942178,0.0131,0.0009,Medium
WPB122,concentrate,66.89,8.11,5.66,5.11,14.45,5.54,70.4291281,4.712818211,6.284859583,6.781654668,0.0045,0.001,Medium
WPB123,isolate,59.69,10.1,4.76,3.23,12.12,5.09,49.79342793,23.50637369,3.313587144,2.515251796,0.0071,0.0016,Low
WPB124,isolate,72.93,5.73,2.71,5.17,14.61,4.98,76.13932455,17.19364622,6.173062949,7.832051704,0.0295,0.0011,Medium
WPB125,blend,72.09,5.75,3.14,4.42,16.35,6.08,65.28163239,13.49461137,4.677214657,6.22616135,0.0373,0.0015,Medium
WPB126,concentrate,80.23,4.45,1.4,5.36,17.69,6.06,72.06040609,19.20038568,6.575644031,6.264862716,0.0015,0.0038,Medium
WPB127,blend,69.98,5.27,3.99,4.16,17.92,7.25,72.74639972,20.23327636,6.365677566,5.086461054,0.0053,0.0087,Medium
WPB128,blend,67.29,8.04,,3.22,15.48,5.53,77.58658303,13.04714297,6.928348924,6.381595983,0.0037,0.0003,Medium
WPB129,concentrate,48.63,2.11,3.01,2.26,9.17,3.66,33.38301174,36.32720381,4.119165775,6.034340383,0.0026,0.002,Low
WPB130,concentrate,94.14,3.26,0.67,2.54,19.79,7.92,93.26922581,2.539776416,8.153362636,9.645777257,0.0156,0.003,High
WPB131,isolate,69.98,5.31,5.12,2.65,14.85,5.14,65.01689663,25.04395694,5.522148914,6.90502494,0.0013,0.0004,Medium
WPB132,concentrate,89.1,1.12,,4.67,18.91,7.38,87.81046314,4.631570476,7.939195212,9.668132473,0.0033,0.0001,High
WPB133,blend,90.53,5.24,1.05,4.89,22.74,7.84,95.6031513,5.415028764,9.929117714,9.059476885,0.0015,0.0009,High
WPB134,blend,70.3,1.08,2.08,4.37,13.86,4.76,73.60883602,11.36723842,5.406721649,6.562177526,0.008,0.0009,Medium
WPB135,concentrate,48.43,5.64,2.32,4.2,12.07,4.16,47.80908826,24.2534009,3.402888786,5.257477233,0.0006,0.0025,Low
WPB136,blend,75.9,4.82,3.66,5.27,17.86,6.17,75.21781589,20.12491943,7.138486147,6.423317066,0.0037,0.0016,Medium
WPB137,isolate,88.68,5.09,2.43,3.17,18.85,6.78,98.18414801,4.165122425,8.728825098,9.083634144,0.0437,0.0044,High
WPB138,blend,81.74,5.48,1.61,4.36,17.38,6.96,70.21243267,12.40328313,5.324694786,5.411357988,0.0005,0.0025,Medium
WPB139,isolate,85.69,7.41,3.87,3.14,19.96,7.21,89.33854398,7.786646604,7.680419394,7.485162374,0.0242,0.0019,High
WPB140,blend,52.36,3.65,4.46,3.64,12.18,4.76,64.83241814,32.26025078,4.427806022,3.342859212,0.0049,0.001,Low
WPB141,isolate,96.52,4.75,6.42,4.61,22.88,8.71,99.99975407,0.384896944,8.196927767,8.161676532,0.0042,0.0023,High
WPB142,isolate,42.45,3.08,2.02,4.9,7.99,3.2,41.80876473,29.10200281,3.691787591,1.981127842,0.0104,0.0055,Low
WPB143,concentrate,65.01,5.17,2.73,4.93,13.63,5.07,73.92682862,7.741749741,4.916301953,5.843179024,0.026,0.0051,Medium
WPB144,isolate,83.85,5.05,3.54,3.5,16.01,6.58,97.73383949,7.043836704,8.887709206,9.225004084,0.0022,0.0001,High
WPB145,concentrate,80.51,1.9,1.01,3.28,17.26,5.91,59.24470158,7.806250485,7.005436182,4.228540374,0.004,0.0008,Medium
WPB146,blend,51.93,7.25,0.86,5.78,11.17,4.05,31.19131788,37.36523287,1,4.087590126,0.007,0.0044,Low
WPB147,blend,51.93,6.24,4.25,5.32,10.49,3.83,56.2032306,26.50756802,5.518542494,2.608046803,0.0307,0.0014,Low
WPB148,blend,85.1,7.77,5.09,5.25,19.16,6.94,90.88710461,3.781640005,7.36757825,9.379516848,0.0259,0.0054,High
WPB149,isolate,90.76,6.24,2.71,3.26,18.69,6.91,91.67012615,5.660891157,8.470960844,9.327100219,0.0056,0.0067,High
WPB150,blend,68.16,7.3,3.99,4.43,15.64,5.57,85.0579678,22.04883571,3.955298415,5.912601855,0.0004,0.0044,Medium
WPB151,blend,72.09,2.56,2.31,4.37,17.33,7.18,75.89637304,14.65808553,7.552870631,6.021510449,0.0042,0.0002,Medium
WPB152,concentrate,48.52,4.03,4.48,4.21,12.45,4.54,58.64646834,40.89511402,2.911868209,5.39557144,0.004,0.0082,Low
WPB153,concentrate,61.64,2.03,2.13,4.39,15.83,6.51,75.22364007,18.13748988,4.356797229,6.214213916,0.0176,0.0018,Medium
WPB154,blend,51.65,6.92,6.04,4.11,12.34,4.27,45.58982722,28.11656919,2.642460425,3.534684699,0.0063,0,Low
WPB155,blend,74.7,4.5,3.94,5.06,15.69,5.92,70.80630884,11.64070997,6.00769171,6.412032487,0.0019,0.001,Medium
WPB156,isolate,49.57,3.95,1.22,1.78,10.31,3.76,54.93175736,41.6480943,4.329847777,3.775668214,0.0063,0.0027,Low
WPB157,isolate,73.66,5.65,2.21,3.68,17.7,7.09,71.97091369,3.404239115,6.559250386,6.545815987,0.0088,0.0013,Medium
WPB158,blend,87.27,5.08,2.53,4.92,20,6.87,87.43712193,3.07110207,6.547696008,9.057925084,0.0021,0.0024,High
WPB159,concentrate,54.07,4.91,2.51,5.02,12.98,5.22,47.02189641,43.5079422,3.273567635,1.124527079,0.0018,0.0013,Low
WPB160,blend,69.73,9.67,3.54,5.34,17.37,7.22,72.06386517,16.88043907,6.140881166,7.936197197,0.0192,0.0016,Medium
WPB161,isolate,84.67,2.18,2.58,4.75,18.84,7.72,90.95964059,3.292654918,7.871876852,10,0.0029,0.0001,High
WPB162,concentrate,75.23,2.79,,4.72,17.41,7.18,69.23950566,3.375726605,5.702774124,7.969323749,0.0018,0.0026,Medium
WPB163,concentrate,44.67,6.59,2.89,4.5,10.45,4.34,47.26985016,24.17099586,3.993117493,3.290559691,0.0003,0.0066,Low
WPB164,isolate,87.36,3.83,1.58,4.09,20.51,7.21,90.52316651,9.330031546,7.863784602,7.665692476,0.0047,0.0043,High
WPB165,blend,92.91,1.89,3.44,5.36,20.23,7.96,80.65706879,5.376210082,7.327163702,10,0.0012,0.0032,High
WPB166,blend,87.88,0,3.45,4.06,17.44,6.19,86.51191656,2.938590595,8.221481762,7.23904686,0.0226,0.0004,High
WPB167,blend,42.21,3.31,0.37,3.6,8.74,3.19,45.18705313,30.39024991,3.435732747,3.464341662,0.006,0.0045,Low
WPB168,isolate,56.26,5.45,,2.83,12.45,4.43,56.45138794,29.98199889,2.218435487,2.206998113,0.0121,0.0015,Low
WPB169,concentrate,60.73,3.94,2.83,2.2,14.66,5.52,32.81267585,45.98622683,3.565960273,3.449998023,0.0028,0.0004,Low
WPB170,isolate,85.61,4.94,3.24,2.93,18.39,7.48,89.11585551,2.660759307,7.434196749,6.976060161,0.0313,0.0025,High
WPB171,blend,87.1,2.2,1.94,3.77,18.21,7.59,95.60919586,1.707651271,9.902759339,9.882935927,0.007,0.0013,High
WPB172,isolate,48.86,6.92,3.57,3.09,11.39,4.19,53.43883125,18.96531169,2.357147308,2.156398467,0.0509,0.0011,Low
WPB173,concentrate,51.76,3.28,3.82,4.1,11.41,3.9,31.99893798,24.5289055,3.854839854,4.281131803,0.0075,0.0042,Low
WPB174,isolate,71.67,7.93,4.27,4.6,15.65,5.64,68.49648293,14.65858751,6.977337324,5.526755238,0.0001,0.0009,Medium
WPB175,blend,89.31,5.76,1.07,2.3,18.57,6.95,83.42664911,2.669473339,7.299756681,8.957601189,0.0141,0.0023,High
WPB176,concentrate,92.97,6.29,4.49,3.16,20.59,7.43,85.41460452,6.27313721,9.314690827,9.338218661,0.0029,0.0008,High
WPB177,isolate,88.17,5.92,1.49,3.91,21.1,8.66,87.31072748,5.382857654,8.994135379,9.372073651,0.0217,0.0022,High
WPB178,isolate,44.21,4.3,1.44,3.08,9.06,3.33,60.51841585,22.29064338,5.248564174,3.926733139,0.0036,0.002,Low
WPB179,concentrate,87.65,5.15,4.43,3.81,19.36,7.33,66.34504964,21.96246677,6.272598631,5.624107877,0.0131,0.0008,Medium
WPB180,concentrate,77.91,4.39,3.04,4.17,16.68,6.74,74.59773916,4.53356848,5.064339541,4.916389278,0.0176,0.0047,Medium
WPB181,blend,60.51,8.04,2.21,4.21,13.86,5.21,37.49514546,31.31784154,5.354969499,3.049667328,0.001,0.0005,Low
WPB182,concentrate,87.81,1.26,0.21,4.47,20.97,8.16,90.42427544,4.357486037,7.717958435,8.343877186,0.0244,0,High
WPB183,blend,76.16,9.3,4.61,4.79,16.99,6.98,79.28263015,14.80851135,4.668583735,5.64510893,0.0152,0.0101,Medium
WPB184,isolate,73.29,2.68,0.66,5.5,14.3,5.72,64.61391887,11.64647497,4.747061878,5.2057347,0.0028,0.0021,Medium
WPB185,blend,61.33,5.41,,3.24,14.95,6.06,41.77056117,30.7318057,5.139431281,3.479818093,0.005,0.0013,Low
WPB186,isolate,72.61,4.29,1.33,3.05,15.51,5.32,70.42992785,4.081850489,6.735238549,6.007402039,0.0049,0.0007,Medium
WPB187,concentrate,89.47,5.71,4.25,4.06,16.54,6.21,84.40309779,8.184346,9.438471579,8.635603228,0.0257,0.0056,High
WPB188,isolate,61.79,5.92,2.5,4.7,14.41,5.25,56.59568877,38.49634812,2.972267031,1.793046311,0.0183,0.0027,Low
WPB189,concentrate,91.74,6.88,2.11,3.15,20.65,7.09,84.05578542,2.914066233,8.475925016,8.029994395,0.0259,0.0014,High
WPB190,isolate,91.1,3.55,0.72,3.8,20.07,7.04,96.7985503,10.3421446,8.101114058,9.835002105,0.0055,0.0003,High
WPB191,isolate,47.83,8.27,2.99,4.66,8.45,3.06,38.75217916,29.39932714,3.517338213,4.310791223,0.011,0.0041,Low
WPB192,isolate,92.72,7.51,2.95,3.09,20.14,7.33,97.54618545,5.358756028,7.905935631,8.02711496,0.0134,0.0007,High
WPB193,isolate,78.32,4.02,,5.99,15.79,5.97,75.11767968,14.47423376,6.539177191,6.418426687,0.0175,0.0003,Medium
WPB194,blend,88.92,9.86,,5.2,19.13,7.98,95.28947103,6.007876289,8.012687088,8.013687462,0.0204,0.0007,High
WPB195,isolate,77.1,3,5.38,3.39,17.2,6.52,64.90553032,20.18968557,6.334235487,6.178499201,0.0218,0.0058,Medium
WPB196,blend,74.21,6.71,6.97,4.79,17.25,6.94,71.46362961,16.54998932,5.07935159,6.676410525,0.0013,0.0036,Medium
WPB197,concentrate,86.6,5,4.76,3.92,18.68,6.78,91.58198251,5.317220578,8.641706315,6.115843066,0.0058,0.0014,High
WPB198,concentrate,86.89,2.77,3.09,4.34,19.2,7.1,88.5999088,1.553270145,7.917087958,8.240672855,0.0079,0.0016,High
WPB199,blend,91.86,11.22,1.92,4.03,23.2,9.56,91.35837425,5.526325488,9.144185023,9.65712979,0.0002,0.0059,High
